Date,AAR,BT,Bus,LIRR,MNR,SIR,Subway
05/25/2020,"5,428","383,110","7,996","19,321","12,982",441,"393,918"
05/26/2020,"9,875","506,197","17,819","26,691","14,937","1,173","656,766"
05/27/2020,"11,088","516,570","17,911","26,483","14,432","1,240","674,465"
05/28/2020,"10,030","503,174","17,535","25,175","14,161","1,191","658,057"
05/29/2020,"10,185","517,166","16,378","25,070","15,697","1,094","657,259"
05/30/2020,"6,143","461,626","9,112","15,557","11,003",18,"426,737"
05/31/2020,"4,216","426,968","6,724","13,554","9,390",2,"344,426"
06/01/2020,"10,760","511,968","17,833","34,339","16,184","1,358","687,162"
06/02/2020,"11,206","497,721","16,576","33,769","16,294","1,516","693,760"
06/03/2020,"11,962","500,559","17,830","32,523","15,649","1,323","681,714"
06/04/2020,"12,000","562,094","18,538","29,771","17,149","1,346","726,672"
06/05/2020,"11,698","555,332","16,863","33,482","18,065","1,249","703,576"
06/06/2020,"6,591","473,661","8,912","18,090","12,179",9,"464,198"
06/07/2020,"4,650","466,227","7,579","16,797","11,231",95,"377,990"
06/08/2020,"11,957","556,739","25,663","42,630","20,140","1,596","804,542"
06/09/2020,"12,869","589,581","26,247","42,274","19,543","1,662","842,306"
06/10/2020,"13,616","586,815","26,735","43,083","20,517","1,767","857,015"
06/11/2020,"12,514","566,200","24,284","40,961","19,525","1,576","818,297"
06/12/2020,"13,224","664,835","24,459","45,072","24,165","1,656","896,658"
06/13/2020,"7,794","543,506","12,115","25,355","16,675",17,"545,316"
06/14/2020,"5,195","487,268","8,731","20,859","13,794",7,"430,439"
06/15/2020,"12,953","584,897","27,057","47,545","22,841","1,813","897,112"
06/16/2020,"12,939","601,457","28,049","46,876","22,555","1,874","932,671"
06/17/2020,"14,595","614,357","27,924","47,166","24,167","1,857","948,461"
06/18/2020,"13,808","631,766","27,516","47,851","24,081","1,936","942,382"
06/19/2020,"13,868","694,039","25,578","50,201","27,772","1,751","986,929"
06/20/2020,"8,185","577,260","11,899","28,959","18,559",22,"576,075"
06/21/2020,"6,328","566,717","9,072","27,094","16,719",0,"449,497"
06/22/2020,"13,314","638,159","30,863","53,878","25,367","2,027","1,000,046"
06/23/2020,"15,069","647,403","32,305","52,898","24,909","2,219","1,050,786"
06/24/2020,"15,155","651,692","32,504","52,354","25,277","2,194","1,068,333"
06/25/2020,"14,854","680,113","32,393","53,444","25,644","2,210","1,078,796"
06/26/2020,"15,048","723,614","30,480","55,647","29,700","2,115","1,102,382"
06/27/2020,"8,541","541,589","12,942","26,773","17,932",686,"615,398"
06/28/2020,"5,748","540,549","10,167","25,680","15,918",590,"535,898"
06/29/2020,"14,705","669,113","33,264","63,309","28,163","2,317","1,100,769"
06/30/2020,"15,291","658,682","33,996","57,955","27,077","2,386","1,113,124"
07/01/2020,"16,451","677,917","32,921","56,505","27,770","2,305","1,120,537"
07/02/2020,"15,981","769,172","32,730","64,261","31,948","2,365","1,170,483"
07/03/2020,"10,915","610,636","16,862","56,181","32,049","1,138","851,877"
07/04/2020,"8,391","488,652","10,769","38,388","22,085",690,"591,605"
07/05/2020,"6,280","575,881","9,832","34,569","19,136",528,"533,692"
07/06/2020,"14,886","652,916","31,548","63,862","30,556","2,222","1,084,956"
07/07/2020,"16,003","650,942","33,595","61,756","30,507","2,403","1,157,185"
07/08/2020,"16,980","658,258","34,242","63,048","30,174","2,454","1,172,279"
07/09/2020,"17,017","714,635","34,762","65,483","31,913","2,571","1,211,280"
07/10/2020,"15,738","618,046","25,544","55,929","29,683","2,117","1,030,632"
07/11/2020,"8,453","535,729","12,872","30,059","18,683",812,"692,977"
07/12/2020,"7,395","617,036","10,966","34,905","19,859",731,"628,187"
07/13/2020,"15,928","658,044","33,302","66,384","31,876","2,504","1,175,700"
07/14/2020,"17,081","693,968","35,391","66,321","31,921","2,669","1,241,080"
07/15/2020,"18,149","700,896","34,701","66,549","32,603","2,751","1,248,413"
07/16/2020,"17,230","713,530","34,199","66,732","33,258","2,756","1,249,128"
07/17/2020,"16,401","711,817","29,696","64,806","35,414","2,427","1,207,265"
07/18/2020,"9,785","649,967","14,335","41,235","24,071",786,"778,936"
07/19/2020,"7,052","609,862","9,845","36,429","18,675",504,"584,994"
07/20/2020,"15,957","672,293","30,196","67,721","32,279","2,428","1,156,735"
